title,author,google_id,recommender,recommender_count,category,publication_date,pages
Helmet for My Pillow,Robert Leckie,TdDWDwAAQBAJ,Jocko Willink,1,History,,
Henry V,William Shakespeare,hvsnAAAAYAAJ,Jocko Willink,1,,1868,93
Heraclitean Fire,Erwin Chargaff,xM5qAAAAMAAJ,Eric Weinstein,1,Science,1978,252
Here Comes Everybody,Clay Shirky,mafZyckH_bAC,Ryan Holiday,1,Business & Economics,2008,327
Here on Earth,Alice Hoffman,OTziP1HwWlkC,Oprah Winfrey,1,Fiction,2013,304
Heretics of Dune,Frank Herbert,nWtewwEACAAJ,Elon Musk,1,Fiction,2019,688
Hidden Champions of the Twenty-First Century,Hermann Simon,zoj3R9DuXwwC,Tom Peters,1,Business & Economics,2009,402
High Growth Handbook,Elad Gil,9U1BuQEACAAJ,Brian Armstrong,1,,2018,
High Output Management,Andrew S. Grove,piCeCgAAQBAJ,Ben Horowitz|Brian Armstrong|Brian Chesky|Drew Houston|Keith Rabois|Larry Ellison|Marc Andreessen|Mark Zuckerberg|Ron Conway|Tobi Lütke,10,Business & Economics,2015,272
Hillbilly Elegy,J. D. Vance,7Y9KDwAAQBAJ,Ben Shapiro|Bill Gates|Bill Nye|Jason Calacanis,4,Social Science,2018,288
Hindu Mysticism,S. N. Dasgupta,UCc4ngEACAAJ,Steve Jobs,1,,2013,190
Hiroshima,John Hersey,SIiVDwAAQBAJ,Alex Blumberg,1,History,2019,160
His Dark Materials Trilogy,Philip Pullman,T9lSPgAACAAJ,Emma Watson|Gretchen Rubin|Soman Chainani,3,Juvenile Fiction,2001,
History of Western Philosophy,Bertrand Russell,SA_hLTf__QMC,Sam Harris,1,Philosophy,2013,728
History of the Peloponnesian War,Thucydides,ywIqAAAAYAAJ,Steven Pressfield,1,Greece,1858,594
History of the World,J.M. Roberts,kz_KxAEACAAJ,Paul Graham,1,Juvenile Nonfiction,2000,1968
Hit Men,Fredric Dannen,aJTugyGjLOQC,Daniel Ek,1,Music,2011,432
Hit Refresh,Satya Nadella,kDeLDgAAQBAJ,Bill Gates,1,Business & Economics,2017,288
Hitch-22,Christopher Hitchens,R_3s8FOjSH0C,Sam Harris,1,Biography & Autobiography,2011,516
Hitler,Ian Kershaw,W4sUi6omc3cC,Brandon Stanton,1,History,2001,299
Holes,Louis Sachar,TofnwAEACAAJ,Gretchen Rubin,1,Adventure stories,2010,315
Homage to Catalonia,George Orwell,bAqcCwAAQBAJ,Ben Shapiro,1,History,2016,198
Homo Deus,Yuval Noah Harari,H2t_CwAAQBAJ,Bill Gates|Naval Ravikant|Richard Branson|Vinod Khosla,4,Science,2017,464
Homo Ludens,Johan Huizinga,ALeXRMGU1CsC,Stewart Brand,1,Social Science,1998,220
Honey From a Weed,Patience Gray,k54JAAAACAAJ,Samin Nosrat,1,Cooking,1997,374
Hons and Rebels,Jessica Mitford,jjfhAQAACAAJ,J.K. Rowling,1,Biography & Autobiography,2004,284
Hooked,Nir Eyal,dsz5AwAAQBAJ,Marc Goodman,1,Business & Economics,2014,256
Hope for the Flowers,Trina Paulus,qXAsDwAAQBAJ,"Mike Maples, Jr.",1,Fiction,2017,160
Horns,Joe Hill,UTnop6nTpX0C,Neil Gaiman,1,Fiction,2010,416
"Hot, Flat, and Crowded",Thomas L. Friedman,BpkALHFTnhUC,Bill Gates,1,Political Science,2009,528
House of Leaves,Mark Z. Danielewski,qGA_3RGqTkQC,Amelia Boone,1,Fiction,2000,709
House of Sand and Fog,Andre Dubus III,-Lc-BAAAQBAJ,Oprah Winfrey,1,Fiction,2014,368
House on Fire,William H. Foege,C2Fk2OJ9wwQC,Bill Gates,1,Medical,2011,240
How Adam Smith Can Change Your Life,Russ Roberts,4PfaCwAAQBAJ,Tim O’Reilly,1,Business & Economics,2015,272
How Asia Works,Joe Studwell,dNs33Q1cAX0C,Bill Gates|Patrick Collison,2,Business & Economics,2013,320
How Buildings Learn,Stewart Brand,zkgRgdVN2GIC,Caterina Fake,1,Architecture,1995,252
How Democracies Die,Steven Levitsky,TwtFDwAAQBAJ,Barack Obama,1,History,2018,320
How Full Is Your Bucket?,Tom Rath,Qd5DCwAAQBAJ,Peter Mallouk,1,Business & Economics,2009,32
How Google Works,Eric Schmidt,Yk9zAwAAQBAJ,Keith Rabois,1,Business & Economics,2014,352
How Innovation Works,Matt Ridley,0ymwDwAAQBAJ,Naval Ravikant,1,Business & Economics,2020,416
How Life Imitates Chess,Garry Kasparov,dRlW4jQ1fQEC,Safi Bahcall,1,Business & Economics,2010,240
How Not to Be Wrong,Jordan Ellenberg,_EQCDAAAQBAJ,Bill Gates|Keith Rabois|Nick Ganju,3,Business & Economics,2015,480
How Proust Can Change Your Life,Alain de Botton,sTlqDwAAQBAJ,Matt Mullenweg,1,Literary Criticism,2019,
How To Make Maximum Money In Minimum Time,Gary C. Halbert,XGPEGwAACAAJ,Neville Medhora,1,"Advertising, Direct-mail",1990,111
How To Win Friends and Influence People,Dale Carnegie,1rW-QpIAs8UC,DJ Vlad|Dave Ramsey|Daymond John|Derek Sivers|Dustin Moskovitz|Ken Block|Paul Graham|Scott Adams|Shay Carl|Strauss Zelnick|Warren Buffett,11,Self-Help,2010,320
How Will You Measure Your Life?,Clayton M. Christensen,MWa_DQAAQBAJ,"Mike Maples, Jr.",1,Business & Economics,2017,64
How the Scots Invented the Modern World,Arthur Herman,3e9DAT257LkC,Charlie Munger,1,History,2007,480
How to Actually Change Your Mind,Eliezer Yudkowsky,YPWdvwEACAAJ,Liv Boeree,1,,2018,
How to Be Topp,Ronald Searle,l9XcAQAACAAJ,Paul Graham,1,Endowed public schools (Great Britain),1992,105
How to Be a Movie Star,William J. Mann,JauvKeSpnEYC,Margaret Cho,1,Biography & Autobiography,2010,496
How to Be a Woman,Caitlin Moran,K3dul9hRZOMC,Amanda Palmer|Emma Watson,2,Feminism,2011,313
How to Change Your Mind,Michael Pollan,UfG1uwEACAAJ,Aubrey Marcus|Bryan Johnson|Hamilton Morris|Naval Ravikant|Paul Stamets|Peter Attia|Tim Ferriss|Vinod Khosla|Yuval Noah Harari,9,Hallucinations and illusions,2019,480
How to Cook Everything,Mark Bittman,QzZhicXEZ3cC,Laura R Walker,1,Cooking,2011,1056
How to Dress an Egg,Peter Kaminsky,iLGoDwAAQBAJ,Michael Pollan,1,Cooking,2020,272
How to Fail at Almost Everything and Still Win Big,Scott Adams,7FZ6AcGmT0AC,Naval Ravikant,1,Business & Economics,2013,256
How to Fly a Horse,Kevin Ashton,yvSaBwAAQBAJ,Joel McHale,1,,2015,
How to Get Filthy Rich in Rising Asia,Mohsin Hamid,aebV0bRgN_MC,Chris Sacca|Tim Ferriss,2,Fiction,2013,240
How to Get Rich,Felix Dennis,7OslR26XcNEC,Neville Medhora,1,Business & Economics,2011,352
How to Lie with Statistics,Darrell Huff,5oSU5PepogEC,Bill Gates|Neil deGrasse Tyson,2,Mathematics,2010,144
How to Live,Sarah Bakewell,27yZQxm0OX8C,Marc Andreessen|Ryan Holiday,2,Biography & Autobiography,2011,400
How to Make Millions with Your Ideas,Dan S. Kennedy,1kbu9BmuzZcC,Tim Ferriss,1,Business & Economics,1996,264
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,RJ1gJ6xakiQC,Derek Sivers,1,Family & Relationships,2008,203
How to Measure Anything,Douglas W. Hubbard,693e2X6XV3MC,Julia Galef|Nick Ganju,2,Business & Economics,2007,287
How to Read a Book,Mortimer J. Adler,Z5PpkQadm5EC,Kevin Systrom,1,Language Arts & Disciplines,2011,426
How to Spend $50 Billion to Make the World a Better Place,Bjørn Lomborg,vwlUmwEACAAJ,Bill Gates,1,Economic development,2013,183
How to Spend $75 Billion to Make the World a Better Place,Bjørn Lomborg,vwlUmwEACAAJ,Jordan Peterson,1,Economic development,2013,183
How to Stop Worrying and Start Living,Dale Carnegie,WSsXDQAAQBAJ,Terry Crews|Tim Ferriss,2,Self-Help,2016,278
How to Talk So Kids Will Listen & Listen So Kids Will Talk,Adele Faber,2KFcJln1ozIC,Brian Armstrong,1,Family & Relationships,2012,345
How to Talk to Anyone,Leil Lowndes,wH43PObvfugC,Derek Sivers,1,Business & Economics,2003,368
How to Teach Your Baby Math,Glenn Doman,EjSIGQAACAAJ,Naval Ravikant,1,Education,2001,242
How to Teach Your Baby to Read,Glenn Doman,PSisDwAAQBAJ,Naval Ravikant,1,,,
How to Win at the Sport of Business,Mark Cuban,AIy0VgBESqIC,Jason Khalipa,1,Business & Economics,2011,67
How to Write a Good Advertisement,Victor O. Schwab,lCPrCgAAQBAJ,Scott Adams,1,Business & Economics,2015,252
"How to be Strong, Healthy and Happy",Bob Hoffman,tnqXpwAACAAJ,Jocko Willink,1,Sports & Recreation,2011,456
Howard Hughes,Donald L. Barlett,ivZGrgLszbcC,Elon Musk,1,Biography & Autobiography,2011,688
Howl and Other Poems,Allen Ginsberg,SXbesgEACAAJ,Darren Aronofsky,1,,2015,46
Human Action,Ludwig Von Mises,dmsiDAAAQBAJ,Charles Koch,1,Business & Economics,2016,
Human Compatible,Stuart Russell,VMq_wwEACAAJ,Elon Musk,1,,2019,320
Humans Need Not Apply,Jerry Kaplan,yatJCgAAQBAJ,Brian Armstrong,1,Computers,2015,256
Humiliation,William Ian Miller,a6GIohQF_BMC,Sam Harris,1,Literary Collections,1995,270
Hunger Makes Me a Modern Girl,Carrie Brownstein,pyBhDQAAQBAJ,Emma Watson,1,Biography & Autobiography,2016,256
Hyperbole and a Half,Allie Brosh,rBNupiFKTGEC,Bill Gates,1,Humor,2013,288
I Always Look Up the Word Egregious,Maxwell Nurnberg,DoFlPwAACAAJ,Eric Weinstein,1,Vocabulary,1981,290
I Am That,Nisargadatta Maharaj,brX5vQAACAAJ,Sam Harris,1,,2016,142
I Capture the Castle,Dodie Smith,vfHr_GVR_wYC,J.K. Rowling|Lisa Randall,2,Young Adult Fiction,2012,592
I Contain Multitudes,Ed Yong,4qzrCgAAQBAJ,Bill Gates,1,Science,2016,368
I Didn't Do It for You,Michela Wrong,Yz2kmFZqU1MC,Patrick Collison,1,History,2009,480
I Don't Want to Talk About It,Terrence Real,t1oTjCzKPEsC,Peter Attia,1,Self-Help,1999,384
I Fought With Custer,Charles Windolph,E6t3ODKOQkkC,Jocko Willink,1,History,1987,236
I Heard My Country Calling,James Webb,d1woAgAAQBAJ,Jocko Willink,1,Biography & Autobiography,2014,400
I Know This Much Is True,Wally Lamb,KZpUyvnWdIoC,Oprah Winfrey,1,Fiction,1999,912
I Know Why the Caged Bird Sings,Maya Angelou,Z2q_1A0nlvIC,Richard Branson,1,Biography & Autobiography,2010,288
I Put a Spell on You,Nina Simone,5FvQAQAACAAJ,Nicholas McCarthy,1,Music,1993,208
I Remember The Last War,Bob Hoffman,qM8BAAAAMAAJ,Jocko Willink,1,"World War, 1914-1918",1940,320
I Said No!,Kimberly King,84aVPAAACAAJ,Jocko Willink,1,Juvenile Fiction,2008,38
I'm No Hero,Charlie Plumb,nSSNPQAACAAJ,Jocko Willink,1,Biography & Autobiography,1991,287
"I, Claudius",Robert Graves,ZqsaAwAAQBAJ,Jordan Peterson,1,Fiction,2014,472
Iacocca,Lee Iacocca,UrUDoIDN2voC,Ramit Sethi,1,Biography & Autobiography,1986,365
Ibogaine Explained,Peter Frank,9tv3nAEACAAJ,Martin Polanco,1,,2013,76
Ice Age,John Gribbin,0EVRAAAAMAAJ,Charlie Munger,1,History,2001,104
Iceland Small World,Sigurgeir Sigurjonsson,PBE7mwEACAAJ,Anníe Mist Þórisdóttir,1,,2012,118
Icy Sparks,Gwyn Hyman Rubio,vNVrmr-lNPQC,Oprah Winfrey,1,Fiction,2001,336
Identity,Francis Fukuyama,OjpIDwAAQBAJ,Bill Gates,1,Political Science,2018,240
Idoru,William Gibson,r8ezxsszSr0C,Jason Calacanis,1,Fiction,2003,400
If The Dead Rise Not,Philip Kerr,-pL-wAEACAAJ,Lewis Cantley,1,Fiction,2010,455
If This Is a Man and The Truce,Primo Levi,6ZyHAgAAQBAJ,David Blaine|Esther Perel,2,History,2014,400
If the Universe Is Teeming with Aliens ... Where is Everybody?,Stephen Webb,Kp6g79LuKWEC,Elon Musk|Patrick Collison,2,Science,2002,288
Ignition!,John Drury Clark,_JZcDwAAQBAJ,Elon Musk,1,Biography & Autobiography,2018,302
Ikigai,Héctor García,rkBRDwAAQBAJ,Ryan Hoover,1,Family & Relationships,2018,194
Illusions,Richard Bach,abAiAQAAQBAJ,Naval Ravikant,1,Fiction,2013,144
Imagined Worlds,Freeman Dyson,MOC8UJPuvO8C,Stewart Brand,1,,1999,216
"Immigrant, Montana",Amitava Kumar,y-FWDwAAQBAJ,Barack Obama,1,Fiction,2018,320
Impossible to Ignore,Carmen Simon,lvnnCwAAQBAJ,Scott Adams,1,Business & Economics,2016,256
In Cold Blood,Truman Capote,TH5uM_f0MRwC,Ben Shapiro|Sam Harris,2,True Crime,2013,396
In Defense of Food,Michael Pollan,kX8D_7RvqTsC,Richard Branson,1,Business & Economics,2008,256
In FED We Trust,David Wessel,nSgC25PBTuUC,Bill Gates,1,Business & Economics,2009,336
In Other Words,Ellen Bialystok,r2djAAAAMAAJ,Tim Ferriss,1,Language Arts & Disciplines,1994,246
In Over Our Heads,Robert Kegan,qQ6YlMKfyQ4C,Graham Duncan|Ray Dalio,2,Psychology,1994,396
In Patagonia,Bruce Chatwin,-U7pirMQuZEC,Richard Branson,1,Travel,2003,240
In Praise of Idleness,Bertrand Russell,CnlbMP_vBmgC,Ed Cooke,1,Philosophy,2004,171
In Praise of Shadows,Junichiro Tanizaki,jCGwDwAAQBAJ,Tim Ferriss,1,Antiques & Collectibles,2019,128
In Search of Excellence,Tom Peters,4uiSPgAACAAJ,Ev Williams,1,Language Arts & Disciplines,2008,32
In Search of Lost Time,Marcel Proust,GPhcAAAAMAAJ,Alain de Botton,1,Fiction,2003,864
In The Plex,Steven Levy,V1u1f8sv3k8C,Charlie Munger|Paul Graham,2,Business & Economics,2011,432
In an Uncertain World,Robert Rubin,CqsG3SuHSXcC,Warren Buffett,1,Business & Economics,2004,427
In the Beginning...Was the Command Line,Neal Stephenson,T39vdDvyPzUC,Ev Williams,1,Computers,2009,160
In the Body of the World,Eve Ensler,ITNbkVvfYZsC,Emma Watson,1,Biography & Autobiography,2013,240
In the Company of Giants,Rama Dev Jager,OlmZPwAACAAJ,Keith Rabois,1,Business & Economics,1997,232
In the Footsteps of Mr. Kurtz,Michela Wrong,2h814GrJUskC,Patrick Collison,1,History,2012,336
In the Heart of the Sea,Nathaniel Philbrick,roXy5kT34j4C,Richard Branson,1,History,2001,320
In the Shadow of Statues,Mitch Landrieu,ZtCIDwAAQBAJ,Barack Obama,1,,2019,240
In-N-Out Burger,Stacy Perman,m3RcBwAAQBAJ,Richard Branson,1,,,
Inch and Miles,John R. Wooden,OfFjMQAACAAJ,Michael Gervais,1,Reading (Elementary),2004,48
Incognito,David Eagleman,fyWwDrn6_H4C,Ray Dalio,1,Science,2011,304
Incompleteness,Rebecca Goldstein,tXk2AAAAQBAJ,Patrick Collison,1,Biography & Autobiography,2006,296
Indistractable,Nir Eyal,_KjNDwAAQBAJ,Ryan Hoover,1,Distraction (Psychology),2020,318
Infinite Jest,David Foster Wallace,9uXSayGPlgYC,Peter Attia,1,Fiction,2011,1104
Infinite Powers,Steven Strogatz,AzKQDwAAQBAJ,Naval Ravikant,1,History,2019,384
Infinite in All Directions,Freeman J. Dyson,ahOq7Fy4WAoC,Stewart Brand,1,Science,2004,352
Influence,Robert B. Cialdini PhD,5dfv0HJ1TEoC,Adam Robinson|Charlie Munger|Max Levchin|Naval Ravikant|Ramit Sethi|Samy Kamkar|Scott Adams|Tobi Lütke|Warren Buffett,9,Self-Help,2009,336
Infomocracy,Malka Older,fYoUvgAACAAJ,Daniel Pink,1,Fiction,2017,400
Information Rules,Carl Shapiro,aE_J4Iv_PVEC,Tim O’Reilly,1,Business & Economics,1998,352
Innovation and Entrepreneurship,Peter F. Drucker,1y331zUzhTEC,Matt Mullenweg,1,Business & Economics,2012,272
Insanely Simple,Ken Segall,f-rfwWCgt8UC,Keith Rabois,1,Creative ability in business,2012,225
Instructions for His Generals,Frederick the Great,M0M6MtSXVkwC,Jocko Willink,1,History,2012,112
Intermediate Microeconomics,Hal R. Varian,YTGQuAAACAAJ,Tim O’Reilly,1,,2011,779
Interventions,Kofi Annan,oR04gnJHpTAC,Bill Gates,1,Biography & Autobiography,2012,400
Into Thin Air,Jon Krakauer,gt7EQgH8-b4C,Richard Branson,1,Travel,1998,320
Into the Fire,Dakota Meyer,iHNHPxswpQUC,Jocko Willink,1,Biography & Autobiography,2012,256
Into the Wild,Jon Krakauer,m9BiDwAAQBAJ,Gretchen Rubin,1,Biography & Autobiography,2018,
Introduction to Econometrics,H Stock James,MtdNNgAACAAJ,Eric Weinstein,1,Business & Economics,2008,379
Introduction to Linear Algebra,Gilbert Strang,eewnAQAAIAAJ,Eric Weinstein,1,Mathematics,1993,472
Introduction to Mathematical Philosophy,Bertrand Russell,WQ7tnG07_68C,Vlad Zamfir,1,Philosophy,2007,220
Introduction to Superstrings,Michio Kaku,RYQHCAAAQBAJ,Eric Weinstein,1,Science,2012,587
Introductory Econometrics,Jeffrey M. Wooldridge,64vt5TDBNLwC,Eric Weinstein,1,Business & Economics,2008,896
Inversions,Iain M. Banks,cO00U2Llra8C,Elon Musk,1,Fiction,2007,352
Investing Between the Lines,L.J. Rittenhouse,LmhVdgm0GnkC,Warren Buffett,1,Business & Economics,2012,240
Invisible Man,Ralph Ellison,foSLDQAAQBAJ,Jacqueline Novogratz,1,Fiction,1995,581
Invisible Selling Machine,Ryan Deiss,R5YSrgEACAAJ,Daymond John,1,,2015,
Island,Aldous Huxley,IMpp6wIG5IIC,Aubrey Marcus|Jordan Peterson,2,Classical fiction,2005,286
Island of the Blue Dolphins,Scott O'Dell,8oV5m9phpoYC,Kelly Starrett,1,Juvenile Fiction,1990,181
Islandia,Austin Tappan Wright,GEBJPgAACAAJ,Tim O’Reilly,1,Consuls,2007,1024
It Can't Happen Here,Sinclair Lewis,pXMZAwAAQBAJ,Daniel Pink,1,Foreign Language Study,2011,458
It Would Be So Nice If You Weren't Here,Charles Grodin,AhwIAQAAMAAJ,Jon Favreau,1,Actors,1989,317
It's All Too Much,Peter Walsh,WrntwXf46ysC,Kevin Kelly,1,Self-Help,2009,240
It's Called a Breakup Because It's Broken,Greg Behrendt,BhfVkEMcbjwC,Dita Von Teese,1,Self-Help,2005,208
It's Not About the Bike,Lance Armstrong,7zO0mbJUWHUC,Ev Williams,1,Biography & Autobiography,2012,320
"It's Not How Good You Are, It's How Good You Want to Be",Paul Arden,ZWnGQgAACAAJ,Casey Neistat,1,Self-Help,2003,128
Ivanhoe,Sir Walter Scott,NY3P7vfu2PoC,Murray Carter,1,,1874,
"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,he_IlgEACAAJ,Chase Jarvis,1,Business & Economics,2013,224
Jack,Jack Welch,7Ns0HQAACAAJ,Warren Buffett,1,Chief executive officers,2003,586
Jack Kennedy,Chris Matthews,vKNGhCqmFRYC,Patrick Arnold,1,Biography & Autobiography,2011,496
Jailhouse Strong,Josh Bryant,1hTusgEACAAJ,Charles Poliquin,1,Exercise,2015,106
Jane Eyre,Charlotte Bronte,64sGAAAAQAAJ,Gretchen Rubin,1,,1868,
Japanese Chess,Trevor Leggett,DgnRAgAAQBAJ,Tim Ferriss,1,Games & Activities,2011,128
Japanese Verbs & Essentials of Grammar,Rita Lampkin,hJZUDt9587wC,Tim Ferriss,1,Foreign Language Study,2003,157
Jerusalem,Yotam Ottolenghi,GZkGpG0eybwC,Sam Kass,1,Cooking,2012,320
Jesus' Son,Denis Johnson,Jh7La5EIaWMC,James Altucher,1,Fiction,2009,133
Jewel,Bret Lott,0RlW6FIdvMYC,Oprah Winfrey,1,Fiction,2011,368
Jim Grant,Peter Adamson,nTlXdqrnBeQC,Bill Gates,1,Social Science,2002,172
Jimmy Corrigan,Chris Ware,v1NQAAAAMAAJ,Ev Williams,1,Comics & Graphic Novels,2000,380
Jitterbug Perfume,Tom Robbins,9K6oJ3mezL4C,Ev Williams,1,Fiction,2003,352
Joe Beef,Frederic Morin,GmxKDwAAQBAJ,Joe Rogan,1,Cooking,2018,352
Joel on Software,Joel Spolsky,xdxrDYZyNLUC,Ev Williams,1,Computers,2004,384
John Bogle on Investing,John C. Bogle,TAD0BgAAQBAJ,Mr. Money Mustache,1,Business & Economics,2015,512
Johnny Got His Gun,Dalton Trumbo,GKlEAgAAQBAJ,Cheryl Strayed,1,Fiction,2007,288
Johnny and the Dead,Terry Pratchett,k_HrwAEACAAJ,Neil Gaiman,1,Cemeteries,2018,224
Jonathan Livingston Seagull,Richard Bach,0lHRBAAAQBAJ,"Ev Williams|Laird Hamilton|Mike Maples, Jr.|Peter Attia|Wim Hof",5,Fiction,2014,144
Jonathan Strange and Mr Norrell,Susanna Clarke,_i_DLILJzUwC,Neil Gaiman,1,Fiction,2005,1024
Journey to the End of the Night,Louis-Ferdinand Céline,pNF66OI692UC,Neil Strauss,1,Fiction,2006,453
Joy on Demand,Chade-Meng Tan,D01evgAACAAJ,Tim Ferriss,1,Self-Help,2017,256
Joyful Wisdom,Yongey Mingyur Rinpoche,md5P4Hv35y8C,Safi Bahcall,1,Religion,2010,304
Judgment Under Uncertainty,Daniel Kahneman,zcJEAQAAIAAJ,Adam Robinson,1,,1985,144
Judgment in Managerial Decision Making,Max H. Bazerman,xkruAAAAMAAJ,Charlie Munger,1,Business & Economics,2008,230
Julia and Jacques Cooking at Home,Julia Child,g2xnQgAACAAJ,Adam Savage,1,Cooking,1999,430
Jurassic Park,Michael Crichton,MNeEFe9qU3cC,Richard Branson,1,Fiction,2012,448
Just Kids,Patti Smith,kwnLdtIfhh0C,Emma Watson|Seth Godin,2,Biography & Autobiography,2010,288
Just Mercy,Bryan Stevenson,mTBXBgAAQBAJ,Cory Booker|Howard Schultz|Richard Branson,3,Biography & Autobiography,2015,352
Justice,Michael J. Sandel,ZEbSSqwIhDsC,J.K. Rowling,1,Philosophy,1998,231
Justice as Fairness,John Rawls,AjrXZIlbK1cC,Patrick Collison,1,Philosophy,2001,214
Kelly,Clarence L. Johnson,S51fBgAAQBAJ,Paul Graham,1,Technology & Engineering,2012,224
Kill Decision,Daniel Suarez,BGACDAAAQBAJ,Marc Andreessen,1,Fiction,2013,495
Killers of the Flower Moon,David Grann,C5VstAEACAAJ,Jacqueline Novogratz,1,Homicide investigation,2018,339
Killing Floor,Lee Child,ADiMDQAAQBAJ,Malcolm Gladwell,1,Fiction,2012,536
King Lear,William Shakespeare,qodbLkpXG6AC,Steve Jobs,1,Literary Criticism,2008,340
King of Clubs,Robert Dedman,ZV3DPAAACAAJ,Blake Mycoskie,1,Biography & Autobiography,1998,220
King of Hearts,G. Wayne Miller,m34P6TK0-k8C,Peter Attia,1,Biography & Autobiography,2010,320
King of the World,David Remnick,gMGVCwAAQBAJ,Peter Attia,1,African American boxers,2015,352
Kissinger,Walter Isaacson,rDqcp3WtoqoC,George Raveling|Scott Belsky,2,Biography & Autobiography,2013,896
Kitchen Confidential,Anthony Bourdain,cocVLbFkgyQC,Eric Ripert|Jon Favreau,2,Biography & Autobiography,2008,320
Knowledge And Decisions,Thomas Sowell,oaKSswEACAAJ,Steven Pinker,1,Law,1996,448
Knowledge and Power,George Gilder,nTVUWNt2_JsC,Ben Shapiro,1,Political Science,2013,400
LISP 1.5 Programmer's Manual,John McCarthy,68j6lEJjMQwC,Alan Kay,1,Computers,1965,106
Labyrinths,Jorge Luis Borges,Jumamrx5UgoC,Caterina Fake,1,Literary Collections,1964,260
Lake Success,Gary Shteyngart,7LyWDwAAQBAJ,Max Levchin,1,Fiction,2019,352
Land of Promise,Michael Lind,y_5MtQAACAAJ,Paul Graham,1,History,2013,592
Last Exit to Brooklyn,Hubert Selby Jr.,MFh3ngEACAAJ,Darren Aronofsky,1,Fiction,2013,134
Lateral Thinking,Edward de Bono,4k5UAwAAQBAJ,Tim Ferriss,1,Self-Help,2014,160
Lead Yourself First,Raymond M. Kethledge,x4VWswEACAAJ,Brené Brown|Dustin Moskovitz,2,Business & Economics,2018,240
Leadership,Doris Kearns Goodwin,qz9QswEACAAJ,LeBron James|Scott Belsky,2,,2018,288
Leadership and Self-Deception,The Arbinger Institute,ZjYP5o18qQUC,Dustin Moskovitz,1,Business & Economics,2010,199
Leadership on the Line,Martin Linsky,c3mYE7jNvn0C,Jonathan Sacks,1,Business & Economics,2002,252
Leadership the Outward Bound Way,Outward Bound USA,PvcqSQ1A6_IC,Ray Dalio,1,Business & Economics,2007,430
Leading,Alex Ferguson,qGLkCwAAQBAJ,Daniel Ek,1,Family & Relationships,2016,416
Lean In,Sheryl Sandberg,y9_mxZLYiiMC,Richard Branson,1,Biography & Autobiography,2013,240
Lean Thinking,James P. Womack,2eWHaAyiNrgC,Jeff Bezos,1,Business & Economics,2010,400
Learn or Die,Edward Hess,a_fSBAAAQBAJ,Ray Dalio,1,Business & Economics,2014,288
Learning Not to Drown,Anna Shinoda,wo2RDwAAQBAJ,Mike Shinoda,1,Young Adult Fiction,2019,352
Learning To Love Yourself,Gay Hendricks Ph.D.,I5FbzgAACAAJ,Brian Armstrong,1,Family & Relationships,2011,122
Learning to Breathe Fire,J.C. Herz,XHA6DQAAQBAJ,Stewart Brand,1,Health & Fitness,2015,368
Leaves of Grass,Walt Whitman,X1d8gxhWQvMC,Kevin Kelly|Rolf Potts,2,Poetry,2005,184
Lee Kuan Yew,Graham Allison,geiCymK1IWIC,Fareed Zakaria,1,Biography & Autobiography,2013,186
Lenin,Victor Sebestyen,LkrTtAEACAAJ,Ben Horowitz,1,Biography & Autobiography,2018,592
Leonardo da Vinci,Walter Isaacson,vkA5DwAAQBAJ,Bill Gates|Mukesh Ambani,2,Biography & Autobiography,2017,624
Let Your Life Speak,Parker J. Palmer,lGwHBAAAQBAJ,Jerry Colonna,1,Religion,1999,128
Letters from a Self-Made Merchant to His Son,George Horace Lorimer,Wg5FAAAAIAAJ,Ryan Holiday,1,Conduct of life,1902,312
Letters from a Stoic,Lucius Annaeus Seneca,T5lhCgAAQBAJ,Jerzy Gregorek|Naval Ravikant|Ryan Holiday|Tim Ferriss,4,Religion,2015,414
Letters of Note,Shaun Usher,0yZvzQEACAAJ,Caterina Fake,1,Rome,1889,
Letters to His Son on the Art of Becoming a Man of the World and a Gentleman,The Earl of Chesterfield,Ft9vDwAAQBAJ,Ryan Holiday,1,Fiction,2018,116
Letters to a Young Poet,Rainer Maria Rilke,_wofmBiXXv0C,Joseph Gordon-Levitt|Krista Tippett|Tim Ferriss,3,Language Arts & Disciplines,2010,128
Level 4,Joseph B McCormick,PCS_rQEACAAJ,Jonathan Eisen,1,Science,2015,400
Levels of the Game,John McPhee,GDf_AwAAQBAJ,Daniel Pink|Samin Nosrat|Stephen Dubner|Tim Ferriss,4,,2014,176
Liar's Poker,Michael Lewis,5NfZvS8gCeQC,Tim Ferriss|Tim O’Reilly,2,Biography & Autobiography,2010,256
Liberating Learning,Terry M. Moe,Xz67xm3SxXYC,Bill Gates,1,Education,2009,223
Liberty Under Siege,Walter Karp,4Hr0QsHDD4MC,Michael Pollan,1,Political Science,1993,261
"Liberty, Equality, Fraternity",James Fitzjames Stephen,0I9fAAAAcAAJ,Ben Shapiro,1,Equality,1874,370
Lie Algebras In Particle Physics,Howard Georgi,3kpnDwAAQBAJ,Eric Weinstein,1,Science,2018,340
Life 101,Peter McWilliams,w_OY3XMVv1UC,Charles Poliquin,1,Philosophy,1997,535
Life 3.0,Max Tegmark,2hIcDgAAQBAJ,Barack Obama|Bill Gates|Elon Musk|Lex Fridman,4,Technology & Engineering,2017,384
